case_name,node_index,time_h,time_utc,lat,lon,speed_out_kts,speed_over_ground_kts,speed_through_water_kts,heading_out_deg,outgoing_phase,outgoing_speed_sog_kts,outgoing_speed_stw_kts,wind_speed_ms,wind_dir_deg,current_speed_ms,current_dir_deg,wave_height_m,wave_period_s,wave_dir_deg,P_prop_MW,P_service_MW,P_req_MW,fuel_step_kg,milp_total_dg_MW,milp_P_dc_MW,milp_P_c_MW,milp_SOC,milp_DG1_P_MW,milp_DG1_ON,milp_DG1_Start,milp_DG1_FC_kgh,milp_DG1_StartFuel_kg,milp_DG2_P_MW,milp_DG2_ON,milp_DG2_Start,milp_DG2_FC_kgh,milp_DG2_StartFuel_kg,milp_DG3_P_MW,milp_DG3_ON,milp_DG3_Start,milp_DG3_FC_kgh,milp_DG3_StartFuel_kg,milp_DG4_P_MW,milp_DG4_ON,milp_DG4_Start,milp_DG4_FC_kgh,milp_DG4_StartFuel_kg,milp_StartFuel_kg,milp_FuelWithStart_kg,milp_ESS_N1_reserve_MW,milp_N1_largest_output_MW,milp_N1_min_margin_MW
case3_ga_integrated,0,0.0,2024-07-15T06:00:00+00:00,31.0,122.0,17.98448805185814,17.98448805185814,17.950099805099406,59.69257147161935,departure,17.98448805185814,17.950099805099406,5.637286402105157,188.78197144210748,0.06259097199931882,133.27463028996186,0.5245105028152466,3.389188766479492,178.05939790865114,12.98159386053208,2.5,15.48159386053208,1470.2563356,16.32,0.0,0.8384061394999991,0.73982429162625,0.0,0,0,0.0,0.0,9.18,1,1,1654.03837755,170.0,7.14,1,1,1286.47429365,120.0,0.0,0,0,0.0,0.0,290.0,1760.2563356,8.5,9.18,0.5800000000000018
case3_ga_integrated,1,0.5,2024-07-15T06:30:00+00:00,31.080000000000172,122.1600000000006,17.98448805185814,17.98448805185814,17.88139829131174,59.67148004185808,cruising,17.98448805185814,17.88139829131174,6.068326132847152,188.18979532084083,0.05382120666372928,69.48356477510275,0.5046389102935791,3.379305839538574,177.0213732007869,12.78769845024691,3.5,16.28769845024691,1467.3882962153634,16.2876984502,0.0,0.0,0.73982429162625,0.0,0,0,0.0,0.0,9.1476984502,1,0,1648.3022987807267,0.0,7.14,1,0,1286.47429365,0.0,0.0,0,0,0.0,0.0,0.0,1467.3882962153634,8.5,9.1476984502,0.6123015498000015
case3_ga_integrated,2,1.0,2024-07-15T07:00:00+00:00,31.16000000000018,122.32000000000069,17.98448805185814,17.98448805185814,17.843302971400007,58.01696376320448,cruising,17.98448805185814,17.843302971400007,6.41435013039202,189.71759881796723,0.14921933960011624,118.89007830128956,0.6522477865219116,3.6230850219726562,180.59272884795888,12.716308399315535,3.5,16.216308399315537,1461.0496072385138,16.2163083993,0.0,0.0,0.73982429162625,0.0,0,0,0.0,0.0,9.0763083993,1,0,1635.6249208270276,0.0,7.14,1,0,1286.47429365,0.0,0.0,0,0,0.0,0.0,0.0,1461.0496072385138,8.5,9.0763083993,0.6836916007000013
case3_ga_integrated,3,1.5,2024-07-15T07:30:00+00:00,31.240000000000194,122.47000000000075,17.98448805185814,17.98448805185814,18.03213117438913,52.00191443512407,cruising,17.98448805185814,18.03213117438913,6.802441704836943,190.30710028735427,0.4520465392396709,145.10998466375895,0.6458268761634827,3.5983638763427734,179.50861392770113,13.167778570853907,3.5,16.667778570853905,1504.3378221810672,16.6677785709,0.0,0.0,0.73982429162625,0.0,0,0,0.0,0.0,9.5277785709,1,0,1722.2013507121346,0.0,7.14,1,0,1286.47429365,0.0,0.0,0,0,0.0,0.0,0.0,1504.3378221810672,8.5,9.5277785709,0.23222142910000088
case3_ga_integrated,4,2.0,2024-07-15T08:00:00+00:00,31.340000000000206,122.62000000000081,17.98448805185814,17.98448805185814,18.280072969963534,51.97226548562393,cruising,17.98448805185814,18.280072969963534,7.043778132586431,190.98641485719952,0.47687284871373226,160.56704936493585,0.6870133876800537,4.081455230712891,171.82293027743987,13.766867320249638,3.5,17.266867320249638,1556.9796420493333,17.2668673202,0.0,0.0,0.73982429162625,9.18,1,1,1654.03837755,170.0,8.0868673202,1,0,1459.9209065486666,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,170.0,1726.9796420493333,8.5,9.18,2.0331326798000013
case3_ga_integrated,5,2.5,2024-07-15T08:30:00+00:00,31.44000000000022,122.77000000000092,17.98448805185814,17.98448805185814,17.920001668579374,54.831250709292995,cruising,17.98448805185814,17.920001668579374,7.4454230062210796,191.58431771917023,0.2654483370518856,137.65188925149934,0.8749852478504181,4.360409736633301,175.78760212846794,12.919789342062156,3.5,16.419789342062156,1480.035457743476,16.4197893421,0.0,0.0,0.73982429162625,9.279789342099999,1,0,1673.596621836952,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,7.14,1,1,1286.47429365,120.0,120.0,1600.035457743476,8.5,9.279789342099999,0.4802106579000025
case3_ga_integrated,6,3.0,2024-07-15T09:00:00+00:00,31.53000000000024,122.92000000000098,17.98448805185814,17.98448805185814,17.61531764338624,59.55143779866524,cruising,17.98448805185814,17.61531764338624,7.735721984287775,191.89511736398333,0.23077918800588113,94.17121304919483,0.8859551548957825,4.330526351928711,176.02570933822497,12.189072065578618,3.5,15.689072065578618,1414.236541629413,15.6890720656,0.0,0.0,0.73982429162625,9.18,1,0,1654.03837755,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,6.5090720656,1,0,1174.4347057088262,0.0,0.0,1414.236541629413,8.5,9.18,1.2109279344000008
case3_ga_integrated,7,3.5,2024-07-15T09:30:00+00:00,31.610000000000255,123.08000000000108,17.98448805185814,17.98448805185814,17.555980537534868,59.5298459526365,cruising,17.98448805185814,17.555980537534868,6.928153972421292,194.26746945050473,0.2301503317344833,76.2298851392427,0.8638526797294617,4.381580829620361,175.3569449661724,12.095090890756275,3.5,15.595090890756275,1405.8919974075498,15.595090890800002,0.0,0.0,0.73982429162625,8.455090890800001,1,0,1525.3097011650998,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,7.14,1,0,1286.47429365,0.0,0.0,1405.8919974075498,8.5,8.455090890800001,1.3049091092000005
case3_ga_integrated,8,4.0,2024-07-15T10:00:00+00:00,31.69000000000026,123.24000000000113,17.98448805185814,17.98448805185814,17.439085591389617,59.50817784784963,cruising,17.98448805185814,17.439085591389617,5.969014197242474,196.17226768153859,0.2918829783929461,75.50597247147687,0.8417502045631409,4.432635307312012,174.6881805822385,11.884666096607644,3.5,15.384666096607644,1387.208479093216,15.3846660966,0.0,0.0,0.73982429162625,9.18,1,0,1654.03837755,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,6.2046660966000005,1,0,1120.3785806364322,0.0,0.0,1387.208479093216,8.5,9.18,1.5153339034000002
case3_ga_integrated,9,4.5,2024-07-15T10:30:00+00:00,31.770000000000277,123.40000000000123,17.98448805185814,17.98448805185814,17.354688509828247,59.48643329192419,cruising,17.98448805185814,17.354688509828247,5.8847543711442745,194.17350539315527,0.3342354761787644,73.70489288671548,0.8709639608860016,4.587514400482178,176.20477643908487,11.707392359014149,3.5,15.207392359014149,1371.4684274719607,15.207392359,0.0,0.0,0.73982429162625,9.18,1,0,1654.03837755,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,6.027392359,1,0,1088.8984773939217,0.0,0.0,1371.4684274719607,8.5,9.18,1.6926076410000004
